date,min_temperature_2m,max_temperature_2m,avg_temperature_2m,avg_relative_humidity_2m,avg_pm2_5,avg_pm10,target
2020-01-01,-2.3,7.5,1.0,83.73913043478261,44.39166666666667,54.55,0.2916666666666667
2020-01-02,-3.1,6.7,0.2916666666666667,78.83333333333333,45.80833333333334,59.91666666666666,1.3166666666666669
2020-01-03,-2.2,7.7,1.3166666666666669,82.29166666666667,49.833333333333336,57.645833333333336,3.954166666666667
2020-01-04,-2.4,9.0,3.954166666666667,73.83333333333333,26.741666666666664,30.941666666666663,5.483333333333333
2020-01-05,1.3,10.7,5.483333333333333,64.70833333333333,19.416666666666668,24.23333333333333,1.7291666666666667
2020-01-06,-2.3,6.2,1.7291666666666667,88.33333333333333,37.16666666666666,44.24166666666667,-0.8500000000000001
2020-01-07,-2.8,3.9,-0.8500000000000001,93.875,58.7375,66.47916666666667,-1.1375
2020-01-08,-4.0,3.7,-1.1375,91.125,54.6625,62.958333333333336,0.0749999999999999
2020-01-09,-3.8,7.7,0.0749999999999999,81.16666666666667,60.84166666666667,65.01666666666667,2.5291666666666663
2020-01-10,-1.4,7.3,2.5291666666666663,89.83333333333333,45.82083333333333,51.7625,1.4875
2020-01-11,-2.5,8.6,1.4875,88.58333333333333,53.625,57.29583333333333,1.2916666666666667
2020-01-12,-2.3,8.1,1.2916666666666667,80.625,40.15833333333333,44.770833333333336,0.7000000000000001
2020-01-13,-3.1,6.6,0.7000000000000001,81.08333333333333,60.5125,65.40833333333333,1.8916666666666664
2020-01-14,-3.1,4.5,1.8916666666666664,89.66666666666667,75.91666666666667,83.69166666666666,3.4375
2020-01-15,1.7,5.4,3.4375,91.0,66.9875,78.86666666666666,3.1333333333333333
2020-01-16,-1.3,8.4,3.1333333333333333,91.25,55.3625,61.32916666666667,2.0416666666666665
2020-01-17,-1.5,8.5,2.0416666666666665,85.79166666666667,49.9625,52.05833333333334,4.245833333333334
2020-01-18,1.1,9.0,4.245833333333334,90.95833333333331,31.52916666666667,35.00833333333333,3.591666666666667
2020-01-19,0.3,8.8,3.591666666666667,89.75,29.195833333333336,32.550000000000004,3.5666666666666664
2020-01-20,-1.4,8.6,3.5666666666666664,49.75,19.2875,23.1125,1.5458333333333334
2020-01-21,-2.7,6.5,1.5458333333333334,70.91666666666667,40.829166666666666,47.26666666666667,0.6583333333333333
2020-01-22,-3.1,8.6,0.6583333333333333,66.83333333333333,46.31666666666666,51.75416666666666,1.0875
2020-01-23,-3.2,7.9,1.0875,76.83333333333333,53.98333333333333,60.395833333333336,1.0541666666666667
2020-01-24,-3.4,6.5,1.0541666666666667,84.875,65.35000000000001,73.45416666666667,3.775
2020-01-25,1.5,6.7,3.775,88.45833333333333,72.00833333333334,81.75416666666666,3.8875
2020-01-26,-0.6,10.1,3.8875,85.91666666666667,60.2125,69.63333333333334,4.708333333333333
2020-01-27,-0.5,10.2,4.708333333333333,83.58333333333333,55.125,66.06666666666666,6.041666666666667
2020-01-28,1.9,9.7,6.041666666666667,87.25,42.09166666666666,53.88333333333333,5.245833333333334
2020-01-29,0.1,13.0,5.245833333333334,70.875,15.0125,18.29583333333333,5.145833333333333
2020-01-30,-0.4,10.3,5.145833333333333,71.58333333333333,26.825,30.454166666666666,5.804166666666667
2020-01-31,-0.1,13.2,5.804166666666667,84.41666666666667,40.975,45.50833333333333,7.4875
2020-02-01,4.9,9.6,7.4875,92.20833333333331,49.4125,52.875,7.270833333333333
2020-02-02,3.4,12.5,7.270833333333333,91.08333333333331,27.25,31.995833333333334,9.195833333333333
2020-02-03,4.7,16.8,9.195833333333333,86.04166666666667,27.754166666666663,33.97083333333333,7.925
2020-02-04,3.3,13.7,7.925,55.875,18.916666666666668,23.870833333333334,7.020833333333333
2020-02-05,2.2,12.2,7.020833333333333,34.833333333333336,5.5125,7.183333333333334,3.358333333333333
2020-02-06,-1.9,10.7,3.358333333333333,56.41666666666666,20.854166666666668,23.995833333333334,3.3833333333333333
2020-02-07,-2.9,11.0,3.3833333333333333,72.25,32.90833333333333,38.125,3.525
2020-02-08,-1.6,9.2,3.525,76.08333333333333,48.57083333333333,51.32916666666667,3.3125
2020-02-09,-2.1,8.3,3.3125,79.20833333333333,61.49583333333334,71.40833333333333,6.575
2020-02-10,4.2,11.0,6.575,90.70833333333331,37.59166666666667,47.91666666666666,8.716666666666667
2020-02-11,2.8,17.6,8.716666666666667,64.20833333333333,15.770833333333334,22.179166666666664,8.112499999999999
2020-02-12,3.6,14.6,8.112499999999999,36.91666666666666,9.304166666666667,13.920833333333334,5.379166666666666
2020-02-13,-0.1,10.4,5.379166666666666,61.708333333333336,24.879166666666663,30.65833333333333,7.3625
2020-02-14,1.9,14.9,7.3625,73.33333333333333,23.5125,27.2,5.858333333333333
2020-02-15,0.5,12.6,5.858333333333333,75.625,29.516666666666666,34.3125,6.191666666666666
2020-02-16,0.2,12.1,6.191666666666666,83.70833333333333,40.891666666666666,45.84166666666667,8.533333333333333
2020-02-17,6.8,9.8,8.533333333333333,93.625,45.8875,51.4375,8.441666666666666
2020-02-18,3.9,14.5,8.441666666666666,88.375,36.15833333333333,40.97916666666666,7.837499999999999
2020-02-19,4.8,14.0,7.837499999999999,73.375,28.5125,36.09583333333333,6.529166666666666
2020-02-20,1.1,12.3,6.529166666666666,54.54166666666666,22.95,27.28333333333333,6.604166666666667
2020-02-21,0.7,15.2,6.604166666666667,73.0,33.34166666666667,38.3125,7.066666666666666
2020-02-22,2.3,13.2,7.066666666666666,75.20833333333333,40.69166666666667,45.17916666666667,8.625
2020-02-23,3.4,15.9,8.625,80.41666666666667,37.1875,42.1,11.354166666666666
2020-02-24,7.2,19.2,11.354166666666666,82.04166666666667,23.2375,27.78333333333333,10.266666666666667
2020-02-25,7.6,13.4,10.266666666666667,88.0,41.97083333333333,48.7,8.370833333333334
2020-02-26,3.5,12.1,8.370833333333334,56.5,18.325,21.97083333333333,5.2875000000000005
2020-02-27,-0.2,10.4,5.2875000000000005,48.208333333333336,12.545833333333333,16.104166666666668,8.35
2020-02-28,2.7,13.8,8.35,36.125,9.895833333333334,13.620833333333332,5.8
2020-02-29,2.2,10.8,5.8,64.33333333333333,26.05,31.179166666666664,6.245833333333334
2020-03-01,3.1,8.2,6.245833333333334,87.875,22.241666666666664,25.308333333333334,5.1875
2020-03-02,2.3,7.1,5.1875,93.54166666666669,21.84583333333333,23.84166666666667,8.341666666666667
2020-03-03,3.7,13.5,8.341666666666667,64.91666666666667,9.341666666666669,11.866666666666667,7.199999999999999
2020-03-04,1.8,13.1,7.199999999999999,56.66666666666666,13.683333333333332,16.974999999999998,5.804166666666667
2020-03-05,3.2,8.8,5.804166666666667,83.91666666666667,23.554166666666664,26.616666666666664,6.366666666666667
2020-03-06,2.1,11.9,6.366666666666667,81.16666666666667,11.741666666666667,13.6625,8.133333333333333
2020-03-07,0.8,15.9,8.133333333333333,56.083333333333336,10.883333333333333,12.545833333333334,7.679166666666667
2020-03-08,0.7,13.2,7.679166666666667,59.04166666666666,16.3625,18.441666666666663,6.145833333333333
2020-03-09,2.0,10.3,6.145833333333333,76.125,36.96666666666667,40.833333333333336,7.758333333333333
2020-03-10,1.8,15.4,7.758333333333333,64.08333333333333,18.65,22.054166666666664,10.270833333333334
2020-03-11,3.5,19.0,10.270833333333334,71.625,21.308333333333334,26.129166666666663,11.041666666666666
2020-03-12,7.0,15.0,11.041666666666666,84.45833333333333,19.204166666666666,24.28333333333333,12.766666666666666
2020-03-13,9.7,18.2,12.766666666666666,81.33333333333333,17.5625,21.058333333333334,9.954166666666667
2020-03-14,7.5,11.9,9.954166666666667,78.45833333333333,15.5,17.0625,7.929166666666667
